,LIRA,LIRQ,LICJ,LIPZ,LIMF,LIBD,LIPX,LIEO,LICA,LICC,LIPE,LIMJ,LIRN,LIPY,LIPQ
LIRA,0.0,250.64319292742198,404.7595499099452,412.00170839271607,550.0231533555146,353.9206508215743,422.6831655441416,276.98607410696127,445.8808115252868,526.125712333917,322.0131154282704,415.38626911634407,173.86721794104443,215.15325857387137,452.63658782698184
LIRQ,250.64319292742198,0.0,645.5470247706211,209.22528539278827,321.78098535815957,543.7495211755354,178.1993673756379,350.6162469018684,688.338875828711,776.6412647485431,81.11558050309372,192.50383177804656,412.36924718227635,187.3098939577766,287.4110197021972
LICJ,404.7595499099452,645.5470247706211,0.0,816.3883802720875,901.8836650509359,453.61358855866223,822.6893643075314,433.21335524446437,284.92302907832163,190.03730082481593,722.3765317085819,774.8726203936518,317.1799063799452,605.3021942734432,850.1865327356895
LIPZ,412.00170839271607,209.22528539278827,816.3883802720875,0.0,369.3796520562832,602.0790023931023,114.72436646067514,559.8079873790863,800.2520916855747,921.5643418037614,136.21270667141678,294.2680052005242,537.04221861884,229.16127676643865,95.0134379601448
LIMF,550.0231533555146,321.78098535815957,901.8836650509359,369.3796520562832,0.0,865.484163520528,254.74767422481528,499.6190783419862,995.9039381715309,1058.9242247453244,296.6290530297057,134.70893868532653,722.0184144004432,498.52985016873737,460.32772731606127
LIBD,353.9206508215743,543.7495211755354,453.61358855866223,602.0790023931023,865.484163520528,0.0,670.4890060345715,609.0245981578363,251.78324692217413,433.13793068201005,584.2308949803706,734.1082926751164,209.02057816062083,383.19658761045935,584.0099681623598
LIPX,422.6831655441416,178.1993673756379,822.6893643075314,114.72436646067514,254.74767422481528,670.4890060345715,0.0,510.59857225327437,845.4181835763492,947.536309860769,100.7035040556311,188.16243039840967,572.3626568139288,287.29879972228775,207.47453599238233
LIEO,276.98607410696127,350.6162469018684,433.21335524446437,559.8079873790863,499.6190783419862,609.0245981578363,510.59857225327437,0.0,616.838155942107,613.9257076904332,428.06325759440557,391.5663161840385,402.3647064152434,446.4365486464428,633.3556328166167
LICA,445.8808115252868,688.338875828711,284.92302907832163,800.2520916855747,995.9039381715309,251.78324692217413,845.4181835763492,616.838155942107,0.0,190.2740718890136,748.562165677543,861.2569681417225,275.98989892657465,571.1194727176842,801.6269989965904
LICC,526.125712333917,776.6412647485431,190.03730082481593,921.5643418037614,1058.9242247453244,433.13793068201005,947.536309860769,613.9257076904332,190.2740718890136,0.0,847.1963648962758,927.407435426296,385.7881123373926,696.1876103714313,938.2953277032209
LIPE,322.0131154282704,81.11558050309372,722.3765317085819,136.21270667141678,296.6290530297057,584.2308949803706,100.7035040556311,428.06325759440557,748.562165677543,847.1963648962758,0.0,186.66082027961346,474.1552489402637,205.19275098901252,223.88874095201498
LIMJ,415.38626911634407,192.50383177804656,774.8726203936518,294.2680052005242,134.70893868532653,734.1082926751164,188.16243039840967,391.5663161840385,861.2569681417225,927.407435426296,186.66082027961346,0.0,587.3214164711571,376.3343733315995,389.2760452334035
LIRN,173.86721794104443,412.36924718227635,317.1799063799452,537.04221861884,722.0184144004432,209.02057816062083,572.3626568139288,402.3647064152434,275.98989892657465,385.7881123373926,474.1552489402637,587.3214164711571,0.0,310.4425313768006,553.0055513087857
LIPY,215.15325857387137,187.3098939577766,605.3021942734432,229.16127676643865,498.52985016873737,383.19658761045935,287.29879972228775,446.4365486464428,571.1194727176842,696.1876103714313,205.19275098901252,376.3343733315995,310.4425313768006,0.0,245.31509962208258
LIPQ,452.63658782698184,287.4110197021972,850.1865327356895,95.0134379601448,460.32772731606127,584.0099681623598,207.47453599238233,633.3556328166167,801.6269989965904,938.2953277032209,223.88874095201498,389.2760452334035,553.0055513087857,245.31509962208258,0.0
